STT,CUS_CIF_NBR,CUS_MAIL,CUS_PHONE
1,1403,VuMyLe.jui28@yahoo.com,0122783783
2,1286,HoangXuanQuan.hm3ag@outlook.com,0123517517
3,8418,NgoQuyVinh.upo68@outlook.com,0123096096
4,6379,LyChanPhong.3iyfg@gmail.com,0122586586
5,7730,DoKhacDung.37ig1@yahoo.com,0121856856
6,9902,HoangMinhLoan.sy2ip@outlook.com,0120284284
7,799,HoNgocSuong.ojw74@outlook.com,0123764764
8,8539,PhanCuongThinh.8psjl@outlook.com,0123275275
9,6357,TruongVietPhong.k4yf2@gmail.com,0121502502
10,6532,PhamGiaKhanh.2l2eh@gmail.com,0121235235
11,4094,VoTamThanh.crhey@gmail.com,0120237237
12,6399,LyChiHieu.9yzt2@outlook.com,0120314314
13,4824,DangTrucMai.haqpx@yahoo.com,0122869869
14,6936,PhanThuMai.tfb30@yahoo.com,0122375375
15,6196,VuKhacTrieu.r235v@yahoo.com,0123164164
16,2812,HoangKhaiTam.mx34m@outlook.com,0122591591
17,7468,LyNhaTruc.bnbjh@yahoo.com,0122476476
18,9048,TranThienSinh.chd99@yahoo.com,0123563563
19,5643,PhamPhuongLe.ozynm@yahoo.com,0124123123
20,9293,DuongGiaDuc.ymjot@outlook.com,0122114114
21,8488,HuynhBaoTran.7goic@outlook.com,0121304304
22,2734,HoBichNhu.mvlp6@gmail.com,0121191191
23,4734,TruongThuongXuan.3789y@outlook.com,0124175175
24,688,NguyenTueNhi.chvo3@outlook.com,0122646646
25,263,BuiQuocTuan.gg6c1@gmail.com,0123638638
26,417,DoanHuyKhanh.tv60y@yahoo.com,0123286286
27,4681,DuongMaiLinh.dxqfu@outlook.com,0122361361
28,4360,LyTuanThanh.9bkce@outlook.com,0120036036
29,3250,NguyenThienManh.30b88@yahoo.com,0122518518
30,6958,DuongDiemQuyen.pkcbr@yahoo.com,0124953953
31,2662,DoHongXuan.qvqgf@outlook.com,0122222222
32,9385,VoHuuMinh.allpp@gmail.com,0120581581
33,8522,DuongVanThang.sv5ft@outlook.com,0123571571
34,4512,LyUyenTram.i8crd@outlook.com,0121220220
35,348,LeNhaThanh.2enpg@outlook.com,0120868868
36,5053,LyNguyenPhong.xp8kn@yahoo.com,0121137137
37,190,LyVietQuyet.gb0fc@yahoo.com,0123471471
38,1871,VuThaiSan.zrp94@yahoo.com,0122324324
39,7094,LeHoNam.uesmr@gmail.com,0123143143
40,4435,HuynhPhuongTrach.7w1mx@gmail.com,0120335335
41,6099,HoangDiepVy.hserz@gmail.com,0122289289
42,519,HoTuanDung.xs15s@gmail.com,0123159159
43,8631,DangHongThuy.w6bx5@yahoo.com,0121737737
44,4837,TruongXuanThai.eyf1f@gmail.com,0121458458
45,1598,PhamVinhToan.hoo0s@yahoo.com,0122800800
46,5528,DangMaiChi.fsch4@yahoo.com,0121203203
47,6277,DangTramOanh.sfkq4@outlook.com,0123136136
48,5717,DuongKimTrang.r4pxw@gmail.com,0120490490
49,495,DangHaiThuy.35jvh@outlook.com,0120645645
50,3065,HuynhXuanYen.m3knm@outlook.com,0121582582
51,6468,VuThanhHieu.7rvlu@yahoo.com,0124681681
52,683,BuiHienNhi.zjh6r@yahoo.com,0124871871
53,5138,NgoThanhHau.dj903@yahoo.com,0123887887
54,1580,HoThuHue.4sl8e@gmail.com,0120016016
55,18,VuHuyChieu.hu31i@yahoo.com,0120964964
56,2334,LyPhuongTrinh.nlgnp@gmail.com,0123649649
57,8696,HuynhThanhHong.axmu3@outlook.com,0124007007
58,9134,NguyenAnKhang.0wqrb@outlook.com,0123163163
59,3562,LeHuongMai.53jja@outlook.com,0124292292
60,6117,DoanPhuThoi.9jtyh@outlook.com,0121897897
61,6389,VuDinhChuong.3pxua@outlook.com,0120516516
62,7957,DangNhuHao.9q97q@outlook.com,0120261261
63,5765,HuynhHieuNghia.s78a4@gmail.com,0122715715
64,9811,DoanGiaHoa.5juac@outlook.com,0124329329
65,3209,DuongTuanAnh.wbeny@gmail.com,0123132132
66,9808,BuiPhuongNhi.xbjvw@gmail.com,0120650650
67,2729,LeTrongNghia.1v7jn@gmail.com,0122897897
68,1735,VuTanThanh.qo5te@yahoo.com,0123346346
