STT,CUS_CIF_NBR,CUS_NM,DTE_OPN_CIF,BRN_OPN_CIF,CUS_GEN,AGE,TINHTRANGHONNHAN,CUS_PHONE,CUS_MAIL,CUS_ADRR,TINHCHATCVHT,TRINHDOHOCVAN,AVG_AMT_3M,CALL_DATE,STATUS_ADV,CUST_BANCASED,SANPHAMBHNTDAMUA,NGAYMUABH,SPDV,PRIORITYFLAG,BRN_MNGT_PRIO,PAYROLLFLAG,DSCTTHEGHINO,DSCTTHETINDUNG,DSCTNOTIENGUI,DSCTCOTIENGUI,DSCTDIGIBANK,AVG_BAL_TA_E12M,AVG_BAL_TM_E12M,AVG_BAL_LN_E12M,SODUTIENGUI,SODUTIETKIEM,DUNOVAY,NHOMNOVCB,MATDT,CHITIEUCHOYTE,CHITIEUCHOGD,CHITIEUCHODULICH,CHITIEUDAUTUCK,LYDOMUABAOHIEM,SCORE,DATIEPCAN,FEEDBACK,NOTE,RMTIEPCAN
1,xxxxxx,HOANG TUYET CHI,6/5/2020,8500,Nữ,53,Ly dị,xxxxxxx783,xxxxxxxxx@yahoo.com,"Ba Đình,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Trung cấp,16799191,10/16/2021,Đồng ý gặp mặt,Có,FWD Don dau thay doi 3.0,12/21/2022,Khách hàng có thẻ ghi nợ quốc tế; Tiền gửi không kỳ hạn; Khoản vay SXKD,P3,9603,Có,1960790,564314,28074541874,13684180165,512609438,41192202,55387716,18332373,53712167,70008503,23508422,2,15/05/2024,34895452,25925658,36450988,32269984,Quan tâm gia đình,66%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
2,xxxxxx,TRAN THUY DUONG,12/4/2020,7100,Nam,27,Ly dị,xxxxxxx517,xxxxxxxxx@outlook.com,"Hoàn Kiếm,Hà Nội",Cán bộ quản lý trung cấp,Tốt nghiệp phổ thông,16447084,7/14/2022,Đồng ý gặp mặt,Có,Không có,Không,Khách hàng có khoản vay BĐS; Tiền gửi không kỳ hạn,P1,9603,Không,38051579,2304926,7778205211,6626586852,1013640074,80250898,7709576,68969498,6127796,75985493,48622311,3,15/05/2024,55863716,44903760,36944097,99660601,Quan tâm sức khoẻ,66%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
3,xxxxxx,PHAN PHUONG THI,########,200,Nam,29,Độc thân,xxxxxxx096,xxxxxxxxx@outlook.com,"Thanh Xuân,Hà Nội",Cán bộ văn phòng,Đại học,7858768,1/18/2022,Không có,Không,FWD Nang tam vi the,11/6/2023,Khách hàng có khoản vay BĐS; Tiền gửi không kỳ hạn,Không có,Không có,Có,3952293,1350266,15492145265,15733880396,239606987,15098704,18208221,50764543,82859983,14770825,91450740,1,15/05/2024,40136083,19494640,86958570,26232460,Quan tâm sức khoẻ,66%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
4,xxxxxx,HOANG HAI BANG,1/9/2020,8500,Nam,60,Độc thân,xxxxxxx586,xxxxxxxxx@gmail.com,"Cầu Giấy,Hà Nội",Cán bộ quản lý sơ cấp,Tốt nghiệp phổ thông,9691824,10/6/2022,Không có,Không,FWD con vuon xa,11/17/2023,Khách hàng sử dụng autodebit; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P4A,9603,Có,9895012,445878,12108986810,15650708325,1167624331,66866272,80397071,53828393,11565730,19088530,74014456,3,15/05/2024,31200073,95108824,32658859,98718641,Quan tâm bảo hiểm,68%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
5,xxxxxx,DANG KHAC VIET,########,3100,Nam,59,Có gia đình,xxxxxxx856,xxxxxxxxx@yahoo.com,"Hai Bà Trưng,Hà Nội",Cán bộ quản lý sơ cấp,Trung cấp,31017585,1/16/2020,Không có,Không,FWD Don dau thay doi 3.0,3/19/2022,Khách hàng có bảo hiểm; Thẻ tín dụng quốc tế; Thẻ ghi nợ quốc tế; Tiền gửi tiết kiệm,P5,9603,Có,30254964,1914192,4092463176,5952639068,255918880,55091429,75264540,23424581,66838325,78723152,50175397,2,15/05/2024,86366836,99195551,93224761,71177062,"Quan tâm đến cuộc sống gia đình (nghỉ dưỡng du lịch cùng gia đình), quan tâm bảo hiểm (đã mua bảo hiểm FWD)",85%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
6,xxxxxx,NGO NGOC LY,9/12/2023,3000,Nữ,16,Ly dị,xxxxxxx284,xxxxxxxxx@outlook.com,"Hoàn Kiếm,Hà Nội",Cán bộ quản lý cao cấp,Cao đẳng,10596516, ,Khách hàng từ chối – khách hàng không có nhu cầu,Có,Không có,Không,Khách hàng có thẻ ghi nợ nội địa; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P2,9603,Không,2012123,1137178,16805643138,8394291171,1093817525,5189922,14533148,28963736,72069194,81511267,2344371,3,15/05/2024,64444549,8236353,56357478,81613190,Quan tâm gia đình,61%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
7,xxxxxx,TRAN BICH LIEN,3/3/2021,9603,Nữ,44,Độc thân,xxxxxxx764,xxxxxxxxx@outlook.com,"Hai Bà Trưng,Hà Nội",Cán bộ văn phòng,Trung cấp,10855189,2/24/2020,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD Nang tam vi the,9/6/2022,Khách hàng có thẻ tín dụng quốc tế; Tiền gửi không kỳ hạn,P2,9603,Có,24681756,845296,7304799593,18719367149,755114852,89156652,98817584,65499791,83555797,18465137,28187406,3,15/05/2024,37597248,63386846,76996995,95724042,Quan tâm gia đình,66%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
8,xxxxxx,DUONG QUOC VIET,12/15/2020,9901,Nam,38,Ly dị,xxxxxxx275,xxxxxxxxx@outlook.com,"Hai Bà Trưng,Hà Nội",Cán bộ quản lý cao cấp,Trung cấp,8615996,8/2/2020,Đồng ý gặp mặt,Có,FWD Nang tam vi the,10/12/2023,Khách hàng có thẻ ghi nợ nội địa; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P3,9603,Có,13485360,1279326,8746734042,7353170468,290268609,96559754,47000345,9759759,41472438,92075913,81174916,1,15/05/2024,89479593,82294616,8909466,76900979,"Quan tâm đầu tư, tài chính",66%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
9,xxxxxx,PHAM PHUONG THUY,1/6/2020,9603,Nam,44,Có gia đình,xxxxxxx502,xxxxxxxxx@gmail.com,"Hà Đông,Hà Nội",Cán bộ quản lý cao cấp,Đại học,28679256,4/11/2022,Không có,Không,FWD Don dau thay doi 3.0,3/5/2020,Khách hàng sử dụng autodebit; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P3,9603,Có,22727750,716247,21244784038,28487293132,383426064,32510558,51323105,17799234,87785929,90743556,80534054,3,15/05/2024,94406463,34809554,32802577,11897656,Quan tâm đến cuộc sống tương lai,77%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
10,xxxxxx,NGO KIM THU,11/20/2020,9603,Nữ,46,Ly dị,xxxxxxx235,xxxxxxxxx@gmail.com,"Hai Bà Trưng,Hà Nội",Cán bộ quản lý sơ cấp,Trung cấp,32934788,9/13/2023,Không có,Không,FWD Don dau thay doi 3.0,7/29/2023,Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm; Thẻ tín dụng quốc tế; Thẻ ghi nợ nội địa,P5B,9603,Không,13273772,134268,8574816311,14473280064,1010572596,42682977,97482159,36493640,71739677,70537126,41628288,3,15/05/2024,97168887,30751960,26105779,23494277,Quan tâm đến cuộc sống tương lai,66%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
